id,kode,nama,kelompok_id,qty_item,satuan,foto_barang
1,1.0103E+15,"Ballpoint Standard AE7 0,5 Warna Merah",1,8,Buah,backend/assets/images/barang/foto_1010301001000200.png
2,1.0103E+15,Pulpen Faster C6,1,36,Buah,backend/assets/images/barang/foto_1010301001000205.png
3,1.0103E+15,Balliner Biru,1,11,Buah,backend/assets/images/barang/foto_1010301001000211.png
4,1.0103E+15,Pulpen Pilot Frixion Hitam,1,4,Buah,backend/assets/images/barang/foto_1010301001000213.png
5,1.0103E+15,Pulpen Pilot Frixion Biru,1,10,Buah,backend/assets/images/barang/foto_1010301001000214.png
6,1.0103E+15,Pensil Faber Castle 2B,1,24,Buah,backend/assets/images/barang/foto_1010301001000217.png
7,1.0103E+15,"Refill Pilot Frixion 0,7 Biru",1,16,Buah,backend/assets/images/barang/foto_1010301001000218.png
8,1.0103E+15,Permanent Marker Snowman 520,1,3,Buah,backend/assets/images/barang/foto_1010301001000219.png
9,1.0103E+15,Marker snowman hitam,1,17,Buah,backend/assets/images/barang/foto_1010301001000220.png
10,1.0103E+15,Marker snowman biru,1,11,Buah,backend/assets/images/barang/foto_1010301001000221.png
11,1.0103E+15,Balliner Hitam,1,15,Buah,backend/assets/images/barang/foto_1010301001000222.png
12,1.0103E+15,Pulpen Pilot Frixion Merah,1,8,Buah,backend/assets/images/barang/foto_1010301001000223.png
13,1.0103E+15,Pulpen 4 warna Joyko,1,4,Buah,backend/assets/images/barang/foto_1010301001000224.png
14,1.0103E+15,Pentel Techniklick,1,5,Buah,
15,1.0103E+15,Refill Pilot Frixion Hitam,1,4,Buah,backend/assets/images/barang/foto_1010301001000227.png
16,1.0103E+15,Pulpen joyko Q gel,1,9,Buah,backend/assets/images/barang/foto_1010301001000228.png
17,1.0103E+15,Refill pilot frixion merah,1,22,Buah,
18,1.0103E+15,Tinta stempel otomatis biru,1,2,Buah,backend/assets/images/barang/foto_1010301002000194.png
